Prokeep English / French Translations ,,,,,,
Purpose: Record the French translation of Prokeep ,,,,,,
,,,,,,
App Section,Sub Section,English,French,Spanish,Internal Notes,ID
Settings,My Account,Profile,Profil,Perfil,,settings-AccountSettings-profile
,,Password,Mot de passe,Contraseña,,settings-AccountSettings-password
,,First Name,Prénom,Nombre,,settings-ProfileForm-firstName
,,Last Name,Nom,Apellido,,settings-ProfileForm-lastName
,,Cell Phone,Célullaire,Celular,,settings-ProfileForm-cellPhone
,,Email,Courriel,Correo Electrónico,,settings-ProfileForm-email
,,Update,Mis à jour,Actualizar,,settings-ProfileForm-update
,,Current Password,Mot de passe actuel,Contraseña actual,,settings-PasswordForm-currentPassword
,,New Password,Nouveau mot de passe,Nueva Contraseña,,settings-PasswordForm-newPassword
,,Save Password,Enregistrer mot de passe,Guardar Contraseña,,settings-PasswordForm-password
,,Be at least 8 characters in length.,Comporter au moins 8 caratères ,Tener al menos 8 caracteres de longitud,,signin-PasswordRequirements-passwordLength
,,Contain at least 1 uppercase and 1 lowercase letter.,Contenir au moins 1 majuscule et 1 minuscule ,Debe contener al menos una letra mayúscula y una letra minuscula.,,signin-PasswordRequirements-upperCharLowerChar
,,Contain at least 1 number (0-9).,Contenir au moins 1 chiffre (0-9),Debe contener al menos un número (0-9).,,signin-PasswordRequirements-number
,,My Account,Mon compte,Mi cuenta,Toast notification,settings-AccountSettings-header
,,Success! Profile updated.,Succès! Profil mis à jour,Éxito! Perfil actualizado correctamente.,Toast notification,settings-ProfileFormContainer-profileUpdated
,,Success! New password saved.,Succès! Nouveau mot de passe sauvegardé.,Éxito! La nueva contraseña ha sido guardada.,Toast notification,settings-PasswordFormContainer-success
,,Error! Incorrect current password.,Erreur! Mot de passe actuel incorrect,Error! La contraseña actual es incorrecta.,Toast notification,settings-PasswordFormContainer-error
,,Phone number is already in use!,Le numéro de téléphone est déjà utilisé!,El numero de telefono ya esta en uso.,,settings-ProfileFormContainer-phoneNumberError
,,There was an error!,Il y a une erreur,Ha habido un error!,,settings-ProfileFormContainer-error
,,Invalid phone number format.,Format de numéro de téléphone invalide,El formato del número telefónico es invalido.,,settings-ProfileFormContainer-phoneFormatError
,,Invalid email format.,Format de courriel invalide,El formato del correo electrónico es inválido.,,settings-ProfileFormContainer-emailFormatError
,,,,,,
Settings,Preferences,Stock Messages,Messages pré-enregistrés,Mensajes de stock,,settings-Preferences-stockMessages
,,Preferences,Préférences,Preferencias,,settings-Preferences-header
,,Notifications,Notifications,Notificaciones,,settings-Preferences-notifications
,,Appearance,Apparence,Apariencia,,settings-Preferences-appearance
,,Message One,Message un ,Mensaje 1,,settings-StockMessagesForm-messageOne
,,Message Two,Message deux,Mensaje 2,,settings-StockMessagesForm-messageTwo
,,Message Three,Message trois ,Mensaje 3,,settings-StockMessagesForm-messageThree
,,Save,Sauvegarder,Guardar,,settings-StockMessagesForm-save
,,Desktop Notifications,Notifications de bureau,Notificaciones de Escritorio,,settings-DesktopNotificationsForm-headerText
,,Sounds,Son ,Sonidos,,settings-DesktopNotificationsForm-sounds
,,Interval,Intervalle,Intervalo,,settings-DesktopNotificationsForm-interval
,,None,Aucun ,Ninguno,,settings-DesktopNotificationsForm-none
,,Jingle,Jingle,Cascabel,,settings-DesktopNotificationsForm-jingle
,,Blip,Blip,Intermitente,,settings-DesktopNotificationsForm-blip
,,Save,Enregistrer,Guardar,,settings-DesktopNotificationsForm-save
,,30 seconds,30 secondes,30 segundos,,settings-DesktopNotificationsForm-halfMinute
,,1 minute,1 minute,1 minutos,,settings-DesktopNotificationsForm-minute
,,2 minutes,2 minutes,2 minutos,,settings-DesktopNotificationsForm-twoMinutes
,,5 minutes,5 minutes,5 minutos,,settings-DesktopNotificationsForm-fiveMinutes
,,Email Notifications,Notification de courriel ,Notificaciones de correo electrónico,,settings-EmailNotificationForm-emailNotifications
,,Send me an email,Envoie-moi un courriel,Enviarme un correo electrónico,"The blank is a dropdown with numerals in it, no words.",settings-EmailNotificationForm-sendEmail
,,minutes after any of the following events occur:,minutes après que l'un de ces événements arrivent:,Minutos despues de estos eventos:,,settings-EmailNotificationForm-minutesAfter
,,Save,Enregistrer,Guardar,,settings-EmailNotificationForm-save
,,Unread messages,Messages non-lus,Mensajes sin leer,,settings-EmailNotificationForm-unreadMessages
,,Unclaimed threads,Conversations non-réclamées,Hilos sin atender,,settings-EmailNotificationForm-unclaimedThreads
,,You ´ve received a new messages in a thread that you own.,Vous avez reçu un nouveau message dans une conversation que vous possédez ,Has recibido un nuevo mensaje en uno de los hilos que te pertenecen.,,settings-EmailNotificationForm-newMessageReceived
,,A recent thread has not been claimed.,Une récente conversation n'a pas été réclamée,Uno de los hilos más recientes no ha sido atendido.,,settings-EmailNotificationForm-recentThreadUnclaimed
,,Success! Stock messages saved.,Succès! Messages pré-enregistrés sauvegardés,Éxito! Mensajes de stock guardados.,Toast notification,settings-useStockMessages-success
,,Error! Stock messages could not be saved.,Erreur! Messages pré-enregistrés n'a pas pu être sauvegardés,Error! Los mensajes de stock no han podido guardarse.,,settings-useStockMessages-error
,,Success! Desktop Notification settings saved.,Succès! Paramètre de notification de bureau enregistré,Notificacion gaurdada con excito,Toast notification,settings-useDesktopNotifications-success
,,Success! Email Notifications settings saved.,Succès! Paramètre de notifications par courriel enregistré,Email notificaciones guardada con excito,Toast notification,settings-EmailNotificationsContainer-success
,,Successfully updated theme!,Mis à jour du thème réussi!,El tema ha sido actualizado correctamente!,Toast notification,settings-Appearance-success
,,Save,Enregistrer,Guardar,,settings-Appearance-save
,,"An error occurred, could not update theme.","Une erreur s'est produite, impossible de mettre à jour le thème.","Ha ocurrido un error, el tema no pudo ser actualizado.",,settings-Appearance-error
,,Error! Desktop Notifications settings could not be saved.,Erreur! Le paramètre de notification n'a pas pu être enregistré.,Error notificacion no fue guardada,,settings-useDesktopNotifications-error
,,Prokeep Theme,Thèmes Prokeep,Tema Prokeep,,settings-Appearance-prokeepTheme
,,Mode,Affichage,Modo,,settings-Appearance-mode
,,Light,Clair,Luz,,settings-Appearance-light
,,Classic,Classique,Clásico,,settings-Appearance-classic
,,Error! Email Notifications settings could not be saved.,Erreur! Les notifications par courriel n'ont pas pu être enregistrées,Error!,,settings-EmailNotificationsContainer-error
,,Successfully updated,Mis à jour réussie,Actualizado correctamente.,,settings-EditTeamMember-success
,,,,,,
Settings,Users,All,Tout,Todo,,settings-TeamPageContainer-all
,,Search for a team member...,Rechercher un membre de l'équipe,Buscar un miembro del equipo,,settings-TeamMembersFilter-searchPlaceholder
,,Add new,Ajouter ,Agregar uno nuevo,,settings-Team-addNew
,,Name,Nom,Nombre,,settings-TeamTable-name
,,Email,Courriel,Correo Electrónico,,settings-TeamTable-email
,,resend invite,Renvoyer l'invitation,Reenviar invitación,,settings-TeamTable-resentInvite
,,No one with that information found.,Personne avec cette information retrouvée,Nadie con esa información ha sido encontrado.,,settings-TeamTable-notFound
,,Admin,Administrateur,Administrador,,settings-TeamTable-admin
,,Manager,Superviseur,Gerente,,settings-TeamTable-manager
,,pending,en attente,Pendiente,,settings-TeamTable-pending
,,Error. Could not resend invite.,Erreur. Impossible de renvoyer l'invitation,Error. No ha sido posible reenviar la invitación,,settings-TeamTable-error
,,Success! Invite resent.,Succès! Invitation renvoyée,Éxito! La invitación ha sido reenviada.,,settings-TeamTable-success
,,Users,Utilisateurs,Usuarios,,settings-Team-users
,,,,,,
,Users > Edit User,Edit User,Modifier l'utilisateur,Editar Usuario,,settings-EditTeamMember-editUser
,,Users,Utilisateurs,Usuarios,,settings-EditTeamMember-users
,,First Name,Prénom,Nombre,,settings-TeamMemberForm-firstName
,,Last Name,Nom,Apellido,,settings-TeamMemberForm-lastName
,,Email,Courriel,Correo Electrónico,,settings-TeamMemberForm-email
,,Cellphone,Téléphone portable,Celular,,settings-TeamMemberForm-cellphone
,,Role,Rôle,Rol,,settings-TeamMemberForm-role
,,Admin has complete administrative access and is typically limited to a few individuals.,L'administrateur dispose d'un accès d'administrateur complet et est généralement limité à quelques personnes,El Administrador posee un acceso completamente administrativo y esta típicamente limitado a unas pocas personas.,,settings-TeamMemberForm-adminTool
,,"Manager has the ability to add, edit, and delete members of their groups.","Le gestionnaire a la capacité d'ajouter, de modifier et de supprimer des membres de leur groupe","El Gerente tiene la habilidad de agregar, editar y eliminar miembros de sus grupos.",,settings-TeamMemberForm-managerTool
,,Member is the default role for users with standard access.,Le membre est le rôle par défaut des utilisateurs qui disposent d'un accès standard,"El rol ""Miembro"" es el rol predeterminado para los usuarios con acceso estándar.",,settings-TeamMemberForm-memberTool
,,Admin,Administrateur,Administrador,,settings-TeamMemberForm-admin
,,Manager,Gestionnaire,Gerente,,settings-TeamMemberForm-manager
,,Member,Membre,Miembro,,settings-TeamMemberForm-member
,,Administrator,Administrateur,Administrador,,settings-TeamMemberForm-adminOption
,,Groups,Groupes,Grupos,,settings-TeamMemberForm-groups
,,"Group name, department, etc","Nom du groupe, département, etc","Nombre de grupo, departamento, etc",,settings-GroupDropDown-groupDropDownPlaceholder
,,Submit,Soumettre,Enviar,,settings-TeamMemberForm-submit
,,Delete,Supprimer,Eliminar,,settings-TeamMemberForm-delete
,,Required.,Requis,Requerido,,settings-TeamMemberForm-required
,,Successfully added,Ajouté avec succès,Agregado correctamente,Toast notification.,settings-AddTeamMember-added
,,Users,Utilisateurs,Usuarios,,settings-AddTeamMember-users
,,Add User,Ajouter utilisateurs,Agregar Usuario,,settings-AddTeamMember-addUser
,,The email {email} is already in use.,Le courriel {email} est déjà utilisé,El correo electrónico {email} está siendo utilizado.,,settings-EditTeamMember-emailInUse
,,The phone number {phoneNumber} is already in use.,Le numéro de téléphone {phoneNumber} est déjà utilisé,El numero telefonico {phoneNumber} está siendo utilizado.,,settings-EditTeamMember-numberInUse
,,Invalid phone number format.,Format de numéro de téléphone invalide,Formato del número telefónico válido.,,settings-TeamMemberForm-invalidPhone
,,Invalid email format.,Format de courriel invalide,Formato del correo electrónico inválido.,,settings-TeamMemberForm-invalidEmail
,,,,,,
,Users> Delete,Delete this account?,Supprimer le compte?,Eliminar esta cuenta?,,modals-DeleteTeamMember-deleteAccount
,,Are you sure you want to delete the account for {accountName}?,Êtes-vous sûr que vous voulez supprimer le compte pour {accountName}?,Está seguro que desea eliminar la cuenta para {accountName}?,,modals-DeleteTeamMember-areYouSure
,,Cancel,Annuler,Cancelar,,modals-DeleteTeamMember-cancel
,,"Yes, Delete","Oui, Supprimer","Si, Eliminar",,modals-DeleteTeamMember-yesDelete
,,Successfully deleted,Supprimé avec succès,Eliminado correctamente,,modals-DeleteTeamMember-success
,,,,,,
Settings,Groups,Groups,Groupes,Grupos,,settings-Groups-groups
,,Search by name...,Recherche par nom,Buscar por nombre...,,settings-GroupListFilter-placeholder
,,Create Group,Créer un groupe,Crear Grupo,,settings-Groups-createGroup
,,Name,Nom,Nombre,,settings-GroupList-name
,,Phone Number,Téléphone,Número telefónico,,settings-GroupList-phoneNumber
,,Members,Membres,Miembros,,settings-GroupList-members
,,Sharing,Partagé,Compartir,,settings-GroupList-sharing
,,ON,ON,Encendido,,settings-GroupList-on
,,OFF,OFF,Apagado,,settings-GroupList-off
,,No groups with that information found.,Aucun groupe avec cette information retrouvé,No se han encontrado grupos con esa información.,,settings-GroupList-noGroupsFound
,,,,,,
,,Create a new list,Créer une nouvelle liste,Crear nueva lista,,settings-AddOrEditList-createNewList
,,Edit list,Modifier la liste,Editar lista,,settings-AddOrEditList-editList
,,Create list,Créer une liste,Crear lista,,settings-AddOrEditList-createList
,,Save,Enregistrer,Guardar,,settings-AddOrEditList-save
,,Cancel,Annuler,Cancelar,,settings-AddOrEditList-cancel
,,List Name,Nom de la liste,Nombre de lista,,settings-AddOrEditList-listName
,,"Recommended format: all lowercase, no spaces e.g. west-side-plumbers","Format recommandé: tout en minuscules, pas d'espaces ex: plombiers-de-ouest","Formato recomendado: todos minúscula, sin espacios. Por ejemplo: fontaneros-del-oeste",,settings-AddOrEditList-format
,,Tag Name is required,Le nom de la balise est nécessaire,Nombre de etiqueta requerido,,settings-AddOrEditList-tagName
,,,,,,
,,Groups,Groupes,Grupos,,settings-AddOrEditGroup-groups
,Groups> Create Group,Create Group,Créer un groupe,Crear Grupo,,settings-AddOrEditGroup-createGroup
,,Edit Group,Modifier le groupe,Editar Grupo,,settings-AddOrEditGroup-editGroup
,,Name,Nom,Nombre,,settings-AddOrEditGroup-name
,,Phone Number,Numéro de Téléphone,Número telefónico,,settings-AddOrEditGroup-phoneNumber
,,Want a phone number assigned to this group?,Voulez-vous qu'un numéro de téléphone soit attribué à ce groupe?,¿Desea asignar un número telefónico a este grupo?,,settings-AddOrEditGroup-wantPhoneNumber
,,Contact Support,Contacter le support,Contactar Soporte,,settings-AddOrEditGroup-contactSupport
,,Sharing,Partagé,Compartir,,settings-AddOrEditGroup-sharing
